.DRMZ,Drumlin Fully Secure Mobile PDF File,doc
.CHAI,Chaimera Artwork File,doc
.FLO,Automate Flowchart File,doc
.FSD,Flowsheet Document,doc
.XMT,XMind Template,doc
.CHAIT,Chaimera Artwork Template,doc
.PDFXML,Adobe PDFXML Document,doc
.AFPUB,Affinity Publisher Document,doc
.XTP,InfoPath Template Part File,doc
.LSC,Logo! Soft Comfort File,doc
.MFP,MediaFACE Project File,doc
.STUDIO3,Silhouette Studio Version 3 Document,doc
.ELP,eCommerce Landing Page,doc
.FD2,PictureMate Borders File,doc
.PDF,Portable Document Format File,doc
.SBV,Superbase Form Definition,doc
.PDO,Pepakura Designer File,doc
.INX,Adobe InDesign Interchange File,doc
.CEDPRJ,Ashampoo CoverEditor Project,doc
.FP3,FastReport Prepared Report,doc
.MCSP,My Craft Studio Project File,doc
.MIF,FrameMaker Interchange Format File,doc
.HCR,Half-Fold Card File,doc
.CAL,Calendar File,doc
.FEY,FCS Express Layout File,doc
.ANH,Project ROME File,doc
.ICAP,InCopy Package File,doc
.PMX,PrintMaster Project File,doc
.PSPROJ,The Print Shop Project File,doc
.AP,ArtPro File,doc
.PGS,PageStream Document,doc
.IFD,InForm Document,doc
.LBL,Now Contact Label Template,doc
.CST,Manga Studio Story File,doc
.ISD,Flexera InstallShield Dialog Box File,doc
.MWL,XMS Print Layout File,doc
.HPT,HotDocs PDF Template,doc
.LTF,Laser App Temp Form File,doc
.GSP,Silhouette Studio SD Card Document,doc
.PPX,Serif PagePlus Template File,doc
.OLA,Online Access File,doc
.CDF,Computable Document Format File,doc
.LST,Now Contact List Template,doc
.CL2ARC,Comic Life 2 Document Archive,doc
.FM,FrameMaker Document,doc
.MML,FrameMaker Maker Markup Language File,doc
.DTX,Documented LaTeX File,doc
.INP,Urdu InPage Document,doc
.HMK,Hallmark Card Studio File,doc
.FCDT,FormsCentral Design Template,doc
.PMD,PageMaker Document,doc
.HFD,HotDocs Form Document,doc
.PUB,Publisher Document,doc
.BLK,ABBYY FineReader Area Template,doc
.QXD,QuarkXPress Document,doc
.PCL,Printer Command Language Document,doc
.4UI,ForeUI Plot File,doc
.FR3,FastReport Form File,doc
.BTW,BarTender Label,doc
.ZNO,Zinio Electronic Magazine File,doc
.MFO,MediaFace Online Saved File,doc
.PZF,GraphPad Prism Project,doc
.PDR,ProntoDoc for Word Recovered Document,doc
.CLKD,Clicker Docs File,doc
.CD2,Click'N Design 3D File,doc
